,inicio,final,picomin,momentom,duracion
0,2011-04-03 02:50:00,2011-04-03 03:10:00,-0.31656605009891237,2011-04-03 02:55:00,24900.0
4,2011-04-07 05:45:00,2011-04-07 10:20:00,-0.4004660500989123,2011-04-07 08:45:00,35400.0
6,2011-04-10 03:40:00,2011-04-10 04:35:00,-0.3152660500989123,2011-04-10 03:50:00,67500.0
10,2011-04-17 17:55:00,2011-04-17 18:50:00,-0.4085660500989123,2011-04-17 18:10:00,53100.0
11,2011-04-22 03:00:00,2011-04-22 18:15:00,-0.7170660500989123,2011-04-22 10:35:00,49800.0
13,2011-05-03 22:45:00,2011-05-04 00:00:00,-0.34066605009891243,2011-05-03 23:25:00,57900.0
29,2011-05-18 01:05:00,2011-05-18 04:25:00,-0.3587660500989124,2011-05-18 02:50:00,74100.0
38,2011-05-23 17:15:00,2011-05-24 01:10:00,-0.4545660500989124,2011-05-23 19:00:00,85500.0
53,2011-06-08 02:25:00,2011-06-08 13:20:00,-0.5099660500989124,2011-06-08 04:15:00,75600.0
59,2011-06-11 04:40:00,2011-06-11 06:50:00,-0.3485660500989122,2011-06-11 05:00:00,146700.0
60,2011-06-11 07:00:00,2011-06-11 07:10:00,-0.31626605009891234,2011-06-11 07:05:00,82800.0
67,2011-06-19 08:30:00,2011-06-19 15:20:00,-0.5689660500989123,2011-06-19 10:05:00,67500.0
73,2011-07-06 13:35:00,2011-07-06 14:45:00,-0.3423660500989124,2011-07-06 14:05:00,143100.0
78,2011-07-11 15:50:00,2011-07-11 15:55:00,-0.30166605009891234,2011-07-11 15:55:00,40800.0
82,2011-07-14 05:55:00,2011-07-14 05:55:00,-0.3018660500989123,2011-07-14 05:55:00,81900.0
85,2011-07-14 23:30:00,2011-07-15 00:45:00,-0.3335660500989124,2011-07-15 00:40:00,45000.0
89,2011-07-21 00:05:00,2011-07-21 00:15:00,-0.30556605009891236,2011-07-21 00:15:00,135000.0
91,2011-07-21 08:45:00,2011-07-21 11:00:00,-0.3549660500989123,2011-07-21 09:40:00,114000.0
93,2011-07-21 11:40:00,2011-07-21 11:55:00,-0.31386605009891233,2011-07-21 11:40:00,55500.0
111,2011-08-01 05:50:00,2011-08-01 06:10:00,-0.3202660500989123,2011-08-01 06:00:00,50400.0
119,2011-08-08 09:20:00,2011-08-08 09:35:00,-0.3170660500989123,2011-08-08 09:30:00,44100.0
122,2011-08-11 11:20:00,2011-08-11 11:30:00,-0.31206605009891236,2011-08-11 11:25:00,173100.0
129,2011-08-15 10:35:00,2011-08-15 12:30:00,-0.3678660500989124,2011-08-15 11:35:00,42300.0
136,2011-08-24 16:20:00,2011-08-24 21:40:00,-0.4002660500989123,2011-08-24 19:00:00,60900.0
140,2011-08-29 10:25:00,2011-08-29 11:30:00,-0.34046605009891234,2011-08-29 11:05:00,35700.0
142,2011-08-30 07:00:00,2011-08-30 07:35:00,-0.31706605009891237,2011-08-30 07:30:00,29100.0
153,2011-09-14 19:05:00,2011-09-16 17:40:00,-0.7205660500989124,2011-09-15 12:40:00,41400.0
158,2011-09-19 11:25:00,2011-09-19 11:25:00,-0.3003660500989123,2011-09-19 11:25:00,32400.0
185,2011-10-24 03:30:00,2011-10-24 04:50:00,-0.32576605009891235,2011-10-24 04:15:00,67800.0
187,2011-11-01 22:10:00,2011-11-02 15:45:00,-0.5955660500989123,2011-11-02 11:10:00,53100.0
195,2011-11-07 08:10:00,2011-11-07 08:35:00,-0.4552660500989123,2011-11-07 08:20:00,60900.0
196,2011-11-07 15:00:00,2011-11-07 16:05:00,-0.33686605009891235,2011-11-07 16:00:00,52200.0
197,2011-11-09 04:40:00,2011-11-09 05:10:00,-0.32926605009891236,2011-11-09 05:00:00,27600.0
198,2011-11-09 05:50:00,2011-11-09 05:50:00,-0.3048660500989123,2011-11-09 05:50:00,80700.0
206,2011-11-19 06:20:00,2011-11-19 07:00:00,-0.5769660500989123,2011-11-19 06:30:00,21600.0
207,2011-11-19 07:15:00,2011-11-19 07:30:00,-0.3518660500989123,2011-11-19 07:30:00,49200.0
208,2011-11-19 07:50:00,2011-11-19 08:30:00,-0.41666605009891233,2011-11-19 08:05:00,45900.0
209,2011-11-23 04:15:00,2011-11-23 05:35:00,-0.35446605009891236,2011-11-23 05:05:00,65400.0
210,2011-11-23 05:50:00,2011-11-23 15:20:00,-0.4792660500989123,2011-11-23 12:50:00,56100.0
214,2011-11-27 19:05:00,2011-11-27 22:00:00,-0.6069660500989122,2011-11-27 19:25:00,30300.0
215,2011-11-27 22:20:00,2011-11-27 22:35:00,-0.3456660500989123,2011-11-27 22:25:00,72900.0
218,2011-12-02 14:25:00,2011-12-02 14:35:00,-0.30346605009891237,2011-12-02 14:30:00,48900.0
219,2011-12-03 01:10:00,2011-12-03 16:50:00,-0.5218660500989123,2011-12-03 13:30:00,48600.0
220,2011-12-04 07:20:00,2011-12-04 07:35:00,-0.3380660500989124,2011-12-04 07:25:00,77700.0
222,2011-12-04 13:35:00,2011-12-04 15:35:00,-0.3640660500989123,2011-12-04 14:15:00,60900.0
225,2011-12-09 06:30:00,2011-12-09 06:35:00,-0.3051660500989124,2011-12-09 06:35:00,77700.0
226,2011-12-09 13:25:00,2011-12-09 13:55:00,-0.31856605009891237,2011-12-09 13:35:00,40200.0
234,2011-12-14 14:00:00,2011-12-14 15:35:00,-0.3345660500989123,2011-12-14 15:00:00,31200.0
235,2011-12-16 15:10:00,2011-12-16 16:10:00,-0.3134660500989124,2011-12-16 15:20:00,30900.0
237,2011-12-17 01:40:00,2011-12-17 03:45:00,-0.3739660500989124,2011-12-17 02:35:00,85200.0
240,2011-12-28 22:15:00,2011-12-28 22:35:00,-0.31406605009891236,2011-12-28 22:20:00,63600.0
243,2012-01-09 08:50:00,2012-01-09 09:10:00,-0.3254660500989123,2012-01-09 08:55:00,135900.0
248,2012-01-17 15:30:00,2012-01-17 21:55:00,-0.4082660500989123,2012-01-17 16:30:00,26100.0
258,2012-01-27 00:10:00,2012-01-27 14:40:00,-0.5245660500989123,2012-01-27 10:00:00,70800.0
259,2012-01-28 02:00:00,2012-01-28 02:00:00,-0.3022660500989124,2012-01-28 02:00:00,72900.0
263,2012-01-28 17:40:00,2012-01-28 17:40:00,-0.30156605009891235,2012-01-28 17:40:00,31500.0
274,2012-02-25 21:45:00,2012-02-25 22:20:00,-0.3439660500989124,2012-02-25 22:05:00,175200.0
284,2012-03-12 00:00:00,2012-03-12 00:05:00,-0.3064660500989122,2012-03-12 00:05:00,94500.0
285,2012-03-12 00:15:00,2012-03-12 01:00:00,-0.38736605009891234,2012-03-12 00:55:00,
286,2012-03-12 04:25:00,2012-03-12 04:40:00,-0.38006605009891237,2012-03-12 04:35:00,
287,2012-03-12 04:55:00,2012-03-12 05:40:00,-0.44016605009891235,2012-03-12 05:15:00,
288,2012-03-12 06:00:00,2012-03-12 06:10:00,-0.31696605009891227,2012-03-12 06:10:00,
289,2012-03-12 06:30:00,2012-03-12 06:40:00,-0.35446605009891236,2012-03-12 06:35:00,
290,2012-03-12 06:50:00,2012-03-12 07:15:00,-0.3532660500989122,2012-03-12 07:10:00,
291,2012-03-15 12:45:00,2012-03-15 13:05:00,-0.3103660500989123,2012-03-15 12:50:00,
292,2012-03-15 13:20:00,2012-03-15 13:35:00,-0.3104660500989123,2012-03-15 13:25:00,
293,2012-03-15 14:30:00,2012-03-15 14:40:00,-0.3091660500989123,2012-03-15 14:35:00,
294,2012-03-15 14:50:00,2012-03-15 16:55:00,-0.40686605009891225,2012-03-15 15:50:00,
295,2012-03-15 17:10:00,2012-03-15 17:20:00,-0.30676605009891234,2012-03-15 17:15:00,
296,2012-03-15 22:50:00,2012-03-16 01:50:00,-0.3755660500989123,2012-03-16 00:30:00,
297,2012-03-16 02:05:00,2012-03-16 02:05:00,-0.30076605009891233,2012-03-16 02:05:00,
298,2012-03-28 14:05:00,2012-03-28 14:45:00,-0.3292660500989123,2012-03-28 14:30:00,
