,inicio,final,picomax,momentoM,duracion,Count_d,Count_m,Count_y
0,2011-03-27 03:00:00,2011-03-27 09:55:00,0.44733394990108755,2011-03-27 03:45:00,24900.0,1,1,30
4,2011-04-01 20:10:00,2011-04-02 06:00:00,0.40923394990108775,2011-04-01 23:45:00,35400.0,1,8,30
6,2011-04-03 17:40:00,2011-04-04 12:25:00,0.8232339499010877,2011-04-03 23:40:00,67500.0,1,8,30
10,2011-04-04 17:05:00,2011-04-05 07:50:00,0.7881339499010875,2011-04-04 22:50:00,53100.0,1,8,30
11,2011-04-05 20:55:00,2011-04-06 10:45:00,0.6030339499010876,2011-04-06 03:55:00,49800.0,1,8,30
13,2011-04-07 20:25:00,2011-04-08 12:30:00,0.6592339499010877,2011-04-07 22:25:00,57900.0,1,8,30
29,2011-04-14 09:15:00,2011-04-15 05:50:00,1.2230339499010878,2011-04-14 15:30:00,74100.0,1,8,30
38,2011-04-24 21:15:00,2011-04-25 21:00:00,0.6966339499010876,2011-04-25 10:30:00,85500.0,1,8,30
53,2011-04-30 23:00:00,2011-05-01 20:00:00,0.9571339499010876,2011-05-01 09:05:00,75600.0,1,8,30
59,2011-05-05 08:35:00,2011-05-07 01:20:00,1.0727339499010877,2011-05-06 14:35:00,146700.0,1,3,30
60,2011-05-08 03:30:00,2011-05-09 02:30:00,1.1444339499010876,2011-05-08 11:40:00,82800.0,1,3,30
67,2011-05-22 13:55:00,2011-05-23 08:40:00,0.7223339499010876,2011-05-23 01:00:00,67500.0,1,3,30
73,2011-06-02 10:50:00,2011-06-04 02:35:00,1.0444339499010877,2011-06-03 14:50:00,143100.0,1,5,30
78,2011-06-13 04:25:00,2011-06-13 15:45:00,0.47513394990108776,2011-06-13 06:40:00,40800.0,1,5,30
82,2011-06-24 11:35:00,2011-06-25 10:20:00,0.6124339499010878,2011-06-25 01:00:00,81900.0,1,5,30
85,2011-06-28 04:00:00,2011-06-28 16:30:00,0.5518339499010876,2011-06-28 09:10:00,45000.0,1,5,30
89,2011-06-30 09:45:00,2011-07-01 23:15:00,0.8105339499010877,2011-07-01 01:45:00,135000.0,1,5,30
91,2011-07-02 09:35:00,2011-07-03 17:15:00,0.9710339499010876,2011-07-02 19:40:00,114000.0,1,3,30
93,2011-07-05 03:35:00,2011-07-05 19:00:00,0.5949339499010876,2011-07-05 11:25:00,55500.0,1,3,30
111,2011-07-29 06:05:00,2011-07-29 20:05:00,0.6360339499010877,2011-07-29 15:30:00,50400.0,1,3,30
119,2011-08-03 13:25:00,2011-08-04 01:40:00,0.5798339499010876,2011-08-03 23:00:00,44100.0,1,2,30
122,2011-08-19 06:25:00,2011-08-21 06:30:00,1.1587339499010876,2011-08-20 13:05:00,173100.0,1,2,30
129,2011-09-06 13:20:00,2011-09-07 01:05:00,0.4925339499010878,2011-09-06 17:50:00,42300.0,1,2,30
136,2011-09-21 22:15:00,2011-09-22 15:10:00,0.9048339499010877,2011-09-22 07:15:00,60900.0,1,2,30
140,2011-10-15 06:25:00,2011-10-15 16:20:00,0.5398339499010876,2011-10-15 11:20:00,35700.0,1,2,30
142,2011-10-16 16:40:00,2011-10-17 00:45:00,0.4774339499010876,2011-10-16 23:15:00,29100.0,1,2,30
153,2011-11-10 10:05:00,2011-11-10 21:35:00,0.5433339499010876,2011-11-10 13:25:00,41400.0,1,2,30
158,2011-11-30 07:15:00,2011-11-30 16:15:00,0.5832339499010875,2011-11-30 13:35:00,32400.0,1,2,30
185,2011-12-22 17:05:00,2011-12-23 11:55:00,0.6322339499010876,2011-12-23 03:20:00,67800.0,1,2,30
187,2011-12-23 15:20:00,2011-12-24 06:05:00,0.49203394990108773,2011-12-23 19:00:00,53100.0,1,2,30
195,2012-01-06 07:25:00,2012-01-07 00:20:00,0.6644339499010876,2012-01-06 18:40:00,60900.0,1,4,28
196,2012-01-11 21:10:00,2012-01-12 11:40:00,0.7112339499010876,2012-01-12 04:50:00,52200.0,1,4,28
197,2012-01-16 07:20:00,2012-01-16 15:00:00,0.5070339499010876,2012-01-16 10:55:00,27600.0,1,4,28
198,2012-01-24 09:15:00,2012-01-25 07:40:00,0.7435339499010877,2012-01-24 21:25:00,80700.0,1,4,28
